,cluster,ted,ride_count,lat,lng
0,0.0,1.0448813553394167,50.0,-23.5638049,-46.68023672
1,1.0,0.9659460319878883,26.0,-23.534653884615388,-46.66864942307692
2,2.0,1.0246424911664112,44.0,-23.56495277272727,-46.65326197727273
3,3.0,0.9836521380151292,65.0,-23.54308526153846,-46.65467613846154
4,4.0,0.9647600996269855,12.0,-23.52732758333333,-46.667117999999995
5,5.0,1.0461129725383864,94.0,-23.55700864893617,-46.6763535
6,6.0,1.0563406733080152,36.0,-23.56750688888889,-46.686364805555556
7,7.0,0.9888449906374255,26.0,-23.570736384615387,-46.69351357692308
8,8.0,0.9874342637794794,15.0,-23.5734834,-46.66754446666667
9,9.0,0.9864330556244574,253.0,-23.559649391304347,-46.661939699604744
10,10.0,1.0431511217802634,66.0,-23.50211168181818,-46.6402798030303
11,11.0,1.019666650235729,29.0,-23.54718320689655,-46.64420251724138
12,12.0,1.0428894211896198,155.0,-23.584936522580644,-46.67950743870968
13,13.0,0.9669833292391574,15.0,-23.602282333333335,-46.67022566666666
14,14.0,0.9963093129808938,53.0,-23.59285730188679,-46.67383686792453
15,15.0,0.9559772194130498,11.0,-23.55878072727273,-46.68038372727272
16,16.0,0.9634788911168268,14.0,-23.517666,-46.66683871428571
17,17.0,1.0459676262392188,10.0,-23.5253954,-46.6523887
18,18.0,0.9926060502518822,57.0,-23.571153649122806,-46.65683770175439
19,19.0,0.9855574277568053,15.0,-23.536547,-46.655861933333334
20,20.0,1.054189753917905,15.0,-23.5470448,-46.69216393333333
21,21.0,1.0287424931012175,10.0,-23.5346599,-46.6604312
22,22.0,1.0178763496639067,21.0,-23.554344571428572,-46.6518210952381
23,23.0,1.089037152790731,8.0,-23.522854375,-46.655012875
24,24.0,1.0336298816005474,11.0,-23.582411636363634,-46.66543736363636
25,25.0,1.0262031016842246,14.0,-23.59603985714286,-46.680388071428574
26,26.0,0.8991512254724385,10.0,-23.540053800000003,-46.642524
27,27.0,0.9305174633465848,21.0,-23.595677714285713,-46.68559919047619
28,28.0,0.9004770677301452,10.0,-23.5010233,-46.6288097
29,29.0,0.8089150138859363,11.0,-23.500771818181818,-46.624137636363635
30,30.0,0.9857585180517585,10.0,-23.6299688,-46.667242099999996
31,31.0,1.1785822179519234,12.0,-23.57948958333333,-46.69051825
32,32.0,0.9938150171007892,18.0,-23.532759444444444,-46.682940555555554
33,33.0,1.0392181944559187,19.0,-23.569714894736844,-46.64420431578947
34,34.0,1.0562154968379318,10.0,-23.591562200000002,-46.6890736
35,35.0,1.0726897892652398,20.0,-23.583035849999998,-46.68755155
36,36.0,0.9495683717804739,9.0,-23.60106111111111,-46.68055322222222
37,37.0,1.1200209812557784,11.0,-23.604706272727274,-46.69321045454546
38,38.0,1.088266827845045,9.0,-23.562406,-46.674923
39,39.0,1.072505288424638,61.0,-23.493019540983607,-46.63528467213114
40,40.0,1.1361515208100963,10.0,-23.577033800000002,-46.6458127
41,41.0,1.0315065692248895,13.0,-23.601294,-46.60289284615385
42,42.0,0.9409472794143542,14.0,-23.563136571428572,-46.69109942857143
43,43.0,0.9453749149658661,8.0,-23.538871125,-46.661192875
44,44.0,0.8838675071583907,18.0,-23.55051522222222,-46.681135777777776
45,45.0,1.0824111034600226,12.0,-23.55699316666667,-46.69076008333334
46,46.0,1.0908589630029817,5.0,-23.6002444,-46.675458400000004
47,47.0,0.9454348666018098,10.0,-23.704062299999997,-46.5441097
48,0.0,1.0036394509835345,247.0,-23.587721396761136,-46.68039856275304
49,1.0,1.0009737844081636,25.0,-23.54856664,-46.69212624
50,2.0,1.0011566038038873,212.0,-23.559838952830187,-46.662858966981126
51,3.0,0.9664294796091845,24.0,-23.543386416666667,-46.658034750000006
