,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
1280,Black,2024-03-08,16:17:00,0 sec,---,"Av. Brigadeiro Faria Lima, Itaim Bibi - São Paulo - SP, 04538-133, BR","Av. Brigadeiro Faria Lima, Itaim Bibi - São Paulo - SP, 04538-133, BR",4.12,4.12,5.25,4.12,1.13,2024-03-08 16:17:00,0 days,0.0,"[-23.587632, -46.6822214]","[-23.587632, -46.6822214]"
1333,Black,2024-03-15,17:27:00,0 sec,---,"Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR","Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR",4.12,4.12,5.25,4.12,1.13,2024-03-15 17:27:00,0 days,0.0,"[-23.6265204, -46.6732251]","[-23.6265204, -46.6732251]"
1404,Black,2024-03-19,14:44:00,0 sec,---,"Avenida Nove de Julho, Bela Vista - São Paulo - SP, 01312-000, BR","Avenida Nove de Julho, Bela Vista - São Paulo - SP, 01312-000, BR",4.12,4.12,5.25,4.12,1.13,2024-03-19 14:44:00,0 days,0.0,"[-23.5510274, -46.6451093]","[-23.5510274, -46.6451093]"
1448,Black,2024-03-26,22:58:00,0 sec,---,"R. Treze de Maio, Bela Vista - São Paulo - SP, 01327-000, BR","R. Treze de Maio, Bela Vista - São Paulo - SP, 01327-000, BR",4.12,4.12,5.25,4.12,1.13,2024-03-26 22:58:00,0 days,0.0,"[-23.5578361, -46.6465016]","[-23.5578361, -46.6465016]"
1553,Black,2024-04-11,14:02:00,0 sec,---,"Rua Copacabana, Santana - São Paulo - SP, 02461-000, BR","Rua Copacabana, Santana - São Paulo - SP, 02461-000, BR",4.2,4.2,5.25,4.2,1.05,2024-04-11 14:02:00,0 days,0.0,"[-23.4936282, -46.6382614]","[-23.4936282, -46.6382614]"
1622,Black,2024-04-19,22:21:00,0 sec,---,"Avenida Roque Petroni Júnior, Santo Amaro - São Paulo - SP, 04707-910, BR","Avenida Roque Petroni Júnior, Santo Amaro - São Paulo - SP, 04707-910, BR",4.2,4.2,5.25,4.2,1.05,2024-04-19 22:21:00,0 days,0.0,"[-23.6251021, -46.6930767]","[-23.6251021, -46.6930767]"
1623,Black,2024-04-19,22:14:00,0 sec,---,"Agf Shopping Morumbi Av. Roque Petroni Junior, Vila Gertrudes - São Paulo - SP, 04707-900, BR","Agf Shopping Morumbi Av. Roque Petroni Junior, Vila Gertrudes - São Paulo - SP, 04707-900, BR",4.2,4.2,5.25,4.2,1.05,2024-04-19 22:14:00,0 days,0.0,"[-23.6245598, -46.6942006]","[-23.6245598, -46.6942006]"
1724,Black,2024-05-02,23:10:00,0 sec,---,"R. Princesa Isabel, Campo Belo - São Paulo - SP, 04601-002, BR","R. Princesa Isabel, Campo Belo - São Paulo - SP, 04601-002, BR",4.06,4.06,5.25,4.06,1.19,2024-05-02 23:10:00,0 days,0.0,"[-23.617655, -46.678505]","[-23.617655, -46.678505]"
1779,Black,2024-05-11,21:30:00,0 sec,---,"Rua Rodrigo Cláudio, Liberdade - São Paulo - SP, 01532-020, BR","Rua Rodrigo Cláudio, Liberdade - São Paulo - SP, 01532-020, BR",4.06,4.06,5.25,4.06,1.19,2024-05-11 21:30:00,0 days,0.0,"[-23.5717043, -46.6355881]","[-23.5717043, -46.6355881]"
1798,Comfort,2024-05-10,00:02:00,0 sec,---,"Av. Das Nações Unidas, Brooklin Novo - São Paulo - SP, 04578-903, BR","Av. Das Nações Unidas, Brooklin Novo - São Paulo - SP, 04578-903, BR",4.58,4.58,6.3,4.58,1.72,2024-05-10 00:02:00,0 days,0.0,"[-23.6074648, -46.6972465]","[-23.6074648, -46.6972465]"
