,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng,fee,earning_pct,earning_base_fare_pct,traffic_benchmark,ted,bfd,cfd,pud,tei,bfi,cfi,pui,tedi,bfdi,cfdi,pudi
11,UberX,2023-11-11,11:55:00,6 min 29 sec,2.27 km,"Rua Jorge Americano, Lapa - São Paulo - SP, 05083-130, BR","Praça Pero Vaz de Caminha, Alto de Pinheiros - São Paulo - SP, 05452-070, BR",7.16,7.16,11.94,7.16,4.78,2023-11-11 11:55:00,0 days 00:06:29,2.27,"[-23.5332123, -46.7164275]","[-23.5510601, -46.712042]",40.03350083752094,59.96649916247907,59.96649916247907,2.8560939794419973,1.104370179948586,1.104370179948586,1.8416452442159381,0.7372750642673522,3.154185022026432,3.154185022026432,5.259911894273127,2.105726872246696,0.4865066872020203,0.4865066872020203,0.8112974644123075,0.3247907772102873
12,UberX,2023-11-11,11:32:00,28 min 39 sec,14.10 km,"Rua Barão de Jaceguaí, Campo Belo - São Paulo - SP, 04606-004, BR","Rua Jorge Americano, Lapa - São Paulo - SP, 05083-130, BR",25.11,25.11,39.93,25.11,14.82,2023-11-11 11:32:00,0 days 00:28:39,14.1,"[-23.6167842, -46.6715611]","[-23.5332123, -46.7164275]",37.11495116453794,62.88504883546205,62.88504883546205,2.0319148936170213,0.8764397905759163,0.8764397905759163,1.393717277486911,0.5172774869109948,1.7808510638297872,1.7808510638297872,2.8319148936170215,1.0510638297872341,0.06215885039545505,0.06215885039545505,0.0988451969848873,0.036686346589432255
13,UberX,2023-11-11,08:25:00,8 min 14 sec,2.20 km,"Av. Paulista, Bela Vista - São Paulo - SP, 01311-300, BR","Av. Rebouças, Pinheiros - São Paulo - SP, 05402-000, BR",7.91,7.76,13.12,7.91,5.21,2023-11-11 08:25:00,0 days 00:08:14,2.2,"[-23.5640805, -46.653417]","[-23.562387, -46.6749153]",39.710365853658544,60.28963414634146,59.14634146341463,3.7424242424242418,0.9607287449392714,0.9425101214574899,1.5935222672064777,0.6327935222672065,3.5954545454545452,3.527272727272727,5.963636363636363,2.368181818181818,0.43669488406330514,0.4284136915715863,0.7243283032756717,0.28763341921236657
14,UberX,2023-11-11,08:09:00,11 min 50 sec,2.83 km,"R. General Jardim, Vila Buarque - São Paulo - SP, 01223-010, BR","Av. Paulista, Bela Vista - São Paulo - SP, 01310-300, BR",8.96,8.96,14.93,8.96,5.97,2023-11-11 08:09:00,0 days 00:11:50,2.83,"[-23.5446857, -46.6479239]","[-23.5565189, -46.6618352]",39.98660415271266,60.01339584728734,60.01339584728734,4.181389870435807,0.7571830985915493,0.7571830985915493,1.2616901408450703,0.504507042253521,3.1660777385159014,3.1660777385159014,5.275618374558304,2.1095406360424027,0.2675558652266959,0.2675558652266959,0.44582690489225096,0.17827103966555513
15,UberX,2023-11-10,21:01:00,1 min 32 sec,0.45 km,"Rua Padre Chico, Perdizes - São Paulo - SP, 05008-010, BR","Rua Ministro Ferreira Alves, 192, Vila Pompéia - São Paulo - SP, 05009-060, BR",6.27,6.09,8.58,6.27,2.31,2023-11-10 21:01:00,0 days 00:01:32,0.45,"[-23.5303806, -46.6813507]","[-23.5314912, -46.6822104]",26.923076923076923,73.07692307692307,70.97902097902097,3.4074074074074074,4.089130434782608,3.9717391304347824,5.595652173913043,1.5065217391304346,13.933333333333332,13.533333333333333,19.066666666666666,5.133333333333334,9.086956521739129,8.826086956521738,12.43478260869565,3.3478260869565215
16,UberX,2023-11-10,20:27:00,6 min 40 sec,2.51 km,"Rua Sacadura Cabral, Lapa - Sao Paulo - SP, 05076-020, BR","Rua Lauriano Fernandes Júnior, Vila Leopoldina - São Paulo - SP, 05089-070, BR",7.44,7.18,12.28,7.44,4.84,2023-11-10 20:27:00,0 days 00:06:40,2.51,"[-23.5212712, -46.7108558]","[-23.520175, -46.7310798]",39.413680781758956,60.586319218241044,58.46905537459284,2.656042496679947,1.116,1.077,1.8419999999999999,0.726,2.964143426294821,2.860557768924303,4.892430278884462,1.9282868525896415,0.4446215139442231,0.4290836653386454,0.7338645418326692,0.2892430278884462
17,UberX,2023-11-10,20:07:00,4 min 56 sec,1.68 km,"R. Guaicurus, Água Branca - São Paulo - SP, 02675-031, BR","Rua Sacadura Cabral, Lapa - São Paulo - SP, 05076-020, BR",10.03,7.28,12.9,10.03,2.87,2023-11-10 20:07:00,0 days 00:04:56,1.68,"[-23.522782, -46.6938237]","[-23.5212712, -46.7108558]",22.248062015503876,77.75193798449612,56.43410852713179,2.9365079365079367,2.0331081081081077,1.4756756756756757,2.614864864864865,0.5817567567567568,5.970238095238095,4.333333333333334,7.678571428571429,1.7083333333333335,1.2101833976833976,0.8783783783783784,1.5564671814671815,0.34628378378378377
18,UberX,2023-11-10,18:36:00,6 min 32 sec,1.50 km,"Rua Miguel Sevílio, Rio Pequeno - São Paulo - SP, 05379-180, BR","Av. Prof. Lineu Prestes, Butantã - São Paulo - SP, 05508-000, BR",8.3,6.05,9.99,8.3,1.69,2023-11-10 18:36:00,0 days 00:06:32,1.5,"[-23.5646742, -46.7525367]","[-23.5677395, -46.7295579]",16.916916916916914,83.08308308308308,60.56056056056056,4.355555555555555,1.2704081632653061,0.9260204081632653,1.5290816326530612,0.2586734693877551,5.533333333333334,4.033333333333333,6.66,1.1266666666666667,0.8469387755102041,0.6173469387755102,1.0193877551020407,0.17244897959183672
19,UberX,2023-11-10,16:12:00,8 min 28 sec,0.92 km,"Rua Marquês de Itu, Consolação - São Paulo - SP, 01223-001, BR","Avenida Angélica, Consolação - São Paulo - SP, 01227-100, BR",6.1,6.1,9.98,6.1,3.88,2023-11-10 16:12:00,0 days 00:08:28,0.92,"[-23.5437626, -46.6498096]","[-23.544712, -46.6572222]",38.877755511022045,61.12224448897795,61.12224448897795,9.202898550724637,0.7204724409448818,0.7204724409448818,1.178740157480315,0.4582677165354331,6.630434782608695,6.630434782608695,10.847826086956522,4.217391304347826,0.7831222184183498,0.7831222184183498,1.281239301609038,0.4981170831906881
20,UberX,2023-11-10,15:47:00,16 min 42 sec,2.26 km,"Avenida Pacaembu, Consolação - São Paulo - SP, 01234-001, BR","Rua Amaral Gurgel, Consolação - São Paulo - SP, 02362-115, BR",13.03,13.03,14.98,13.03,1.95,2023-11-10 15:47:00,0 days 00:16:42,2.26,"[-23.5402641, -46.6641776]","[-23.54721, -46.6480004]",13.017356475300401,86.98264352469958,86.98264352469958,7.389380530973452,0.7802395209580838,0.7802395209580838,0.8970059880239521,0.11676646706586827,5.765486725663717,5.765486725663717,6.628318584070797,0.8628318584070797,0.3452387260876477,0.3452387260876477,0.3969053044353771,0.05166657834772932
