,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng,fee,earning_pct,earning_base_fare_pct,traffic_benchmark,ted,bfd,cfd,pud,tei,bfi,cfi,pui,tedi,bfdi,cfdi,pudi,duration_min_float,origin_lat,origin_lng,cluster
20,UberX,2023-11-10,15:03:00,36 min 29 sec,6.84 km,"Rua Torres da Barra, Barra Funda - São Paulo - SP, 05037-055, BR","Av. Dr Abrahao Ribeiro, Barra Funda - São Paulo - SP, 01133-020, BR",18.2,16.45,29.91,18.2,11.71,2023-11-10 15:03:00,0 days 00:36:29,6.84,"[-23.5140418, -46.6868586]","[-23.5218782, -46.658864]",39.15078569040455,60.849214309595446,54.9983283182882,5.333820662768032,0.4495677233429394,0.4063400576368876,0.738822560724578,0.2892548373816385,2.6608187134502925,2.404970760233918,4.37280701754386,1.7119883040935675,0.0729324453207024,0.0659197101937117,0.1198576615133081,0.0469252161926057,36.483333333333334,-23.514042,-46.686859,11
21,UberX,2023-11-10,14:41:00,8 min 27 sec,2.14 km,"Av. Francisco Matarazzo, Água Branca - São Paulo - SP, 05001-200, BR","Rua Torres da Barra, Barra Funda - São Paulo - SP, 01139-040, BR",9.49,6.74,14.99,9.49,5.5,2023-11-10 14:41:00,0 days 00:08:27,2.14,"[-23.5261698, -46.6754905]","[-23.5140418, -46.6868586]",36.69112741827885,63.30887258172114,44.96330887258172,3.948598130841121,0.7622489959839358,0.5413654618473897,1.204016064257028,0.4417670682730923,4.434579439252336,3.149532710280374,7.0046728971962615,2.570093457943925,0.5248023005032352,0.3727257645302218,0.8289553724492619,0.3041530719460267,8.45,-23.52617,-46.67549,12
22,UberX,2023-11-10,14:31:00,9 min 28 sec,1.00 km,"Rua Deputado Salvador Julianelli, Barra Funda - São Paulo - SP, 01156-080, BR","Av. Francisco Matarazzo, Água Branca - São Paulo - SP, 05001-100, BR",7.05,6.11,10.14,7.05,3.09,2023-11-10 14:31:00,0 days 00:09:28,1.0,"[-23.5282166, -46.66755]","[-23.5268109, -46.6731386]",30.473372781065084,69.5266272189349,60.256410256410255,9.466666666666669,0.5235148514851485,0.4537128712871287,0.752970297029703,0.2294554455445544,7.05,6.11,10.14,3.09,0.7447183098591549,0.6454225352112676,1.0711267605633803,0.3264084507042253,9.466666666666667,-23.528217,-46.66755,13
23,UberX,2023-11-10,14:06:00,13 min 47 sec,5.19 km,"Rua Jaguaretê, Casa Verde - São Paulo - SP, 02515-010, BR","R. Bento Teobaldo Ferraz, Várzea da Barra Funda - São Paulo - SP, 01140-070, BR",18.03,15.28,19.94,18.03,1.91,2023-11-10 14:06:00,0 days 00:13:47,5.19,"[-23.5107913, -46.6569878]","[-23.5236158, -46.6676494]",9.578736208625877,90.42126379137412,76.62988966900701,2.655748233782916,1.0138706654170573,0.8592314901593253,1.121274601686973,0.1074039362699156,3.4739884393063583,2.9441233140655103,3.842003853564547,0.3680154142581888,0.2520426920899414,0.2136002404400612,0.278742722144949,0.0267000300550076,13.783333333333333,-23.510791,-46.656988,14
24,UberX,2023-11-09,20:56:00,9 min 39 sec,1.79 km,"Rua Professor Basileu Garcia, Jardim Paulista - São Paulo - SP, 05410-060, BR","R. dos Pinheiros, 209, Pinheiros - São Paulo -, 05422-010, BR",7.79,7.79,12.99,7.79,5.2,2023-11-09 20:56:00,0 days 00:09:39,1.79,"[-23.5551383, -46.6806978]","[-23.5646741, -46.68019109999999]",40.03079291762894,59.96920708237106,59.96920708237106,5.391061452513966,0.5706959706959707,0.5706959706959707,0.9516483516483516,0.3809523809523809,4.351955307262569,4.351955307262569,7.256983240223463,2.905027932960894,0.4509798245867947,0.4509798245867947,0.752018988624193,0.3010391640373983,9.65,-23.555138,-46.680698,1
25,UberX,2023-11-09,20:41:00,7 min 14 sec,1.66 km,"Rua Capote Valente, Jardim Paulista - São Paulo - SP, 05409-000, BR","Rua Cristiano Viana, Jardim Paulista - São Paulo - SP, 05411-001, BR",6.1,6.1,9.9,6.1,3.8,2023-11-09 20:41:00,0 days 00:07:14,1.66,"[-23.5595041, -46.6742685]","[-23.556334, -46.6792121]",38.38383838383838,61.61616161616161,61.61616161616161,4.357429718875502,0.5430267062314539,0.5430267062314539,0.8813056379821959,0.3382789317507418,3.674698795180723,3.674698795180723,5.963855421686747,2.289156626506024,0.5080228749097774,0.5080228749097774,0.8244961412470158,0.3164732663372383,7.233333333333333,-23.559504,-46.674268,1
26,UberX,2023-11-09,20:34:00,10 min 15 sec,2.04 km,"Rua Benjamim Egas, Pinheiros - São Paulo - SP, 05418-030, BR","R. Capote Valente, Pinheiros - São Paulo - SP, 05409-000, BR",8.99,8.99,14.98,8.99,5.99,2023-11-09 20:34:00,0 days 00:10:15,2.04,"[-23.5656281, -46.6878019]","[-23.5595041, -46.6742685]",39.98664886515354,60.01335113484646,60.01335113484646,5.0245098039215685,0.6308771929824561,0.6308771929824561,1.0512280701754386,0.4203508771929825,4.40686274509804,4.40686274509804,7.34313725490196,2.936274509803922,0.4299378287900526,0.4299378287900526,0.7164036346245816,0.2864658058345289,10.25,-23.565628,-46.687802,1
27,UberX,2023-11-09,20:26:00,4 min 21 sec,1.11 km,"Avenida Brigadeiro Faria Lima, Pinheiros - São Paulo - SP, 01452-002, BR","Rua Antônio Bicudo, Pinheiros - São Paulo - SP, 05418-010, BR",6.1,6.1,9.9,6.1,3.8,2023-11-09 20:26:00,0 days 00:04:21,1.11,"[-23.5689205, -46.6919469]","[-23.5660573, -46.6885218]",38.38383838383838,61.61616161616161,61.61616161616161,3.9189189189189184,0.7305389221556886,0.7305389221556886,1.18562874251497,0.4550898203592814,5.495495495495494,5.495495495495494,8.91891891891892,3.423423423423423,1.2633322978150563,1.2633322978150563,2.050326188257223,0.7869938904421663,4.35,-23.56892,-46.691947,1
28,UberX,2023-11-09,20:15:00,5 min 44 sec,1.38 km,"Rua Capri, Pinheiros - São Paulo - SP, 05425-030, BR","Rua Maria Carolina, Pinheiros - São Paulo - SP, 01445-000, BR",6.59,6.59,10.98,6.59,4.39,2023-11-09 20:15:00,0 days 00:05:44,1.38,"[-23.567668, -46.7006217]","[-23.5706094, -46.687655]",39.98178506375227,60.01821493624772,60.01821493624772,4.154589371980677,0.6770547945205478,0.6770547945205478,1.128082191780822,0.4510273972602739,4.77536231884058,4.77536231884058,7.9565217391304355,3.181159420289855,0.8329120323559152,0.8329120323559152,1.3877654196157738,0.5548533872598584,5.733333333333333,-23.567668,-46.700622,15
29,UberX,2023-11-09,20:01:00,14 min 1 sec,2.68 km,"Rua Girassol, Pinheiros - São Paulo - SP, 05433-001, BR","R. Capri, Pinheiros - São Paulo - SP, 05425-030, BR",8.95,8.95,14.92,8.95,5.97,2023-11-09 20:01:00,0 days 00:14:01,2.68,"[-23.553521, -46.690532]","[-23.567668, -46.7006217]",40.01340482573726,59.986595174262725,59.986595174262725,5.230099502487562,0.4967622571692877,0.4967622571692877,0.828122109158187,0.3313598519888991,3.339552238805969,3.339552238805969,5.567164179104477,2.227611940298507,0.2382558077626137,0.2382558077626137,0.3971817488065025,0.1589259410438887,14.016666666666667,-23.553521,-46.690532,6
